問題文,解答,選択肢1,選択肢2,選択肢3,難易度
エジプトの三大ピラミッドの中で最も高いものは?,クフ王,クフ王,カフラー王,メンカウラー王,4
円周率の100桁目の数字は何か?,5,1,3,5,5
東京スカイツリーの標高は何メートルか？,634m,333m,634m,965m,3
マリアナ海溝の深さは何メートルか？,10920m,8920m,9920m,10920m,4
SDGsの2番目の目標は？,飢餓をゼロに,すべての人に健康と福祉を,飢餓をゼロに,貧困をなくそう,4
完全変態する昆虫は？,ハチ,カマキリ,トンボ,ハチ,4
和歌で、「神」という言葉を導き出す枕詞は？,ちはやぶる,ちはやぶる,ひさかたの,たまのおの,4
累進課税制度が適用されている税は？,所得税,固定資産税,法人税,所得税,2
陸上競技で、十種競技にあって七種競技にない投擲(とうてき)種目は？,円盤投げ,やり投げ,砲丸投げ,円盤投げ,5
日本の昔話『桃太郎』で、3番目に桃太郎のお供になったのは？,キジ,サル,キジ,イヌ,4
能舞台を観客席から見て、左手前にある柱は？,目付柱,シテ柱,ワキ柱,目付柱,5
次のうち、一つだけ部首が異なるのはどれ？,全,今,全,介,4
夏目漱石の小説『坊ちゃん』で、主人公が赴任先の学校で担当した教科は？,数学,国語,数学,英語,4
首都圏に含まれ、関東地方に含まれないのは？,山梨県,群馬県,山梨県,神奈川県,4
讃岐の国の枕詞は？,たまもよし,たまもよし,ちはやぶる,たれちぬの,3
四字熟語「ぜったいぜつめい」を漢字で書くと？,絶体絶命,絶対絶命,絶体絶命,絶耐絶命,2
ウィーンはどこの国の首都？,オーストリア,ドイツ,トルコ,オーストリア,2
オタワはどこの国の首都？　,カナダ,カナダ,南アフリカ共和国,モンゴル,3
今年で100周年を迎えるのは次のうちどれ？,ディズニー,ポケモン,ディズニー,プリキュア,2
次のうち、最も全長が大きいサメの種類は？,ネズミザメ,イヌザメ,ネコザメ,ネズミザメ,5
『残響散歌』や『紅蓮華』などの曲が使用されたアニメシリーズは？,鬼滅の刃,呪術廻戦,鬼滅の刃,チェンソーマン,1
2021年の「今年の漢字」に選ばれたのは？,金,勤,金,菌,2
漢字一文字の名字のうち、現在最も人口が多いのは？,林,原,林,森,4
夏の大三角を構成する星のうち、はくちょう座の星は？,デネブ,ベガ,デネブ,アルタイル,4
その国旗が「メイプルリーフ」と呼ばれる国は？,カナダ,イギリス,ブラジル,カナダ,3
ゾロアスター教で神聖視されているのは？,火,火,牛,月,5
口語の助動詞で、「推量」の意味を持つのは？,う,べし,う,む,3
野菜のナスの花弁の色は？,紫色,黄色,白色,紫色,3
ドラえもんの好物はどら焼きですが、ドラミちゃんの好物は？,メロンパン,メロンパン,ドーナツ,カステラ,1
富士山が登録されているのは？,世界文化遺産,世界文化遺産,世界自然遺産,世界複合遺産,3
アルファベット順で、「K」の2つ後、「O」の2つ前は？,M,M,L,N,2
テレビのリモコンの4色ボタンのうち、一番左にあるのは？,青,赤,青,黄,3
割り算の答えを漢字一文字で表すと何？,商,賞,商,積,2
北大西洋条約機構をアルファベットで表すと？,NATO,KATO,NOSE,NATO,2
ドラえもんの身長は？,129.3cm,120.3cm,131.0cm,129.3cm,2
